epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.7338,1.0849,0.1275,0.2838,0.9054,0.9193,1.2218,1.0039
1,0.1251,1.0846,0.0658,0.0631,0.8797,0.9194,1.0468,1.3141
2,0.0401,1.0846,0.0754,0.0259,0.8809,0.9192,1.0189,1.3658
3,0.0187,1.0845,0.1243,0.0178,0.8806,0.9190,1.0129,1.3739
4,0.0110,1.0845,0.3170,0.0197,0.8802,0.9190,1.0142,1.3660
5,0.0071,1.0845,0.2343,0.0161,0.8802,0.9193,1.0116,1.3769
6,0.0048,1.0845,0.3089,0.0157,0.8789,0.9191,1.0113,1.3757
7,0.0034,1.0845,0.3160,0.0164,0.8805,0.9189,1.0117,1.3723
8,0.0025,1.0845,0.5565,0.0173,0.8827,0.9186,1.0123,1.3629
9,0.0017,1.0845,0.4854,0.0165,0.8827,0.9188,1.0118,1.3643
10,0.0014,1.0845,0.4785,0.0177,0.8819,0.9190,1.0127,1.3669
11,0.0011,1.0845,0.6522,0.0210,0.8812,0.9187,1.0150,1.3488
12,0.0008,1.0845,0.5995,0.0181,0.8816,0.9189,1.0129,1.3616
13,0.0007,1.0845,0.6997,0.0174,0.8835,0.9186,1.0124,1.3555
14,0.0006,1.0845,0.6272,0.0163,0.8828,0.9187,1.0116,1.3632
15,0.0006,1.0845,0.7424,0.0180,0.8816,0.9186,1.0128,1.3531
16,0.0005,1.0845,0.6931,0.0176,0.8844,0.9187,1.0125,1.3537
17,0.0004,1.0845,0.6764,0.0184,0.8834,0.9189,1.0131,1.3554
18,0.0005,1.0845,0.7702,0.0213,0.8855,0.9183,1.0151,1.3312
19,0.0004,1.0846,1.0801,0.0258,0.8853,0.9190,1.0184,1.3103
