epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.7366,1.0856,0.1177,0.3677,0.0052,1.2541,1.2935,0.6206
1,0.1626,1.0851,0.0562,0.0848,0.0055,1.2588,1.0634,1.2546
2,0.0546,1.0851,0.0668,0.0308,0.0056,1.2581,1.0225,1.3627
3,0.0213,1.0851,0.0896,0.0164,0.0056,1.2577,1.0119,1.3747
4,0.0113,1.0851,0.1369,0.0135,0.0054,1.2578,1.0098,1.3785
5,0.0069,1.0851,0.1892,0.0121,0.0053,1.2577,1.0088,1.3773
6,0.0045,1.0851,0.2791,0.0117,0.0055,1.2575,1.0084,1.3777
7,0.0031,1.0851,0.3991,0.0133,0.0059,1.2568,1.0095,1.3751
8,0.0023,1.0851,0.3417,0.0117,0.0058,1.2574,1.0084,1.3754
9,0.0016,1.0851,0.3609,0.0121,0.0053,1.2580,1.0086,1.3771
10,0.0012,1.0851,0.4230,0.0117,0.0053,1.2573,1.0083,1.3783
11,0.0009,1.0851,0.4249,0.0123,0.0051,1.2579,1.0088,1.3712
12,0.0008,1.0851,0.4956,0.0127,0.0059,1.2579,1.0091,1.3667
13,0.0006,1.0851,0.4578,0.0107,0.0054,1.2578,1.0076,1.3794
14,0.0005,1.0851,0.4725,0.0113,0.0056,1.2569,1.0081,1.3653
15,0.0005,1.0851,0.4802,0.0117,0.0058,1.2570,1.0083,1.3663
16,0.0003,1.0851,0.5117,0.0121,0.0056,1.2578,1.0086,1.3651
17,0.0004,1.0851,0.6517,0.0142,0.0055,1.2577,1.0101,1.3699
18,0.0003,1.0851,0.6336,0.0125,0.0054,1.2576,1.0089,1.3650
19,0.0002,1.0851,0.6700,0.0137,0.0057,1.2578,1.0097,1.3542
