epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.3395,1.0141,0.0000,0.0268,1.0000,0.6350,1.0202,1.3429
1,0.0186,1.0140,0.0608,0.0102,1.0000,0.6349,1.0074,1.3704
2,0.0067,1.0140,0.1551,0.0070,1.0000,0.6348,1.0050,1.3745
3,0.0031,1.0140,0.2468,0.0059,1.0000,0.6348,1.0043,1.3809
4,0.0016,1.0140,0.2479,0.0048,1.0000,0.6348,1.0034,1.3808
5,0.0009,1.0139,0.3375,0.0048,1.0000,0.6347,1.0034,1.3759
6,0.0005,1.0139,0.3900,0.0049,1.0000,0.6346,1.0035,1.3741
7,0.0004,1.0139,0.4361,0.0051,1.0000,0.6347,1.0036,1.3700
8,0.0003,1.0139,0.3985,0.0041,1.0000,0.6348,1.0029,1.3712
9,0.0003,1.0138,0.4387,0.0050,1.0000,0.6344,1.0036,1.3637
10,0.0002,1.0139,0.4722,0.0062,1.0000,0.6347,1.0044,1.3671
11,0.0002,1.0139,0.4324,0.0045,1.0000,0.6347,1.0032,1.3607
12,0.0001,1.0139,0.4530,0.0046,1.0000,0.6346,1.0033,1.3606
13,0.0001,1.0139,0.4997,0.0047,1.0000,0.6346,1.0033,1.3578
14,0.0001,1.0138,0.4695,0.0048,1.0000,0.6344,1.0034,1.3600
15,0.0000,1.0137,0.5721,0.0070,1.0000,0.6343,1.0050,1.3459
16,0.0001,1.0138,0.4888,0.0048,1.0000,0.6345,1.0034,1.3477
17,0.0001,1.0138,0.5585,0.0055,1.0000,0.6345,1.0039,1.3581
18,0.0000,1.0137,0.5091,0.0045,1.0000,0.6344,1.0032,1.3566
19,0.0001,1.0137,0.5605,0.0047,1.0000,0.6343,1.0033,1.3480
