epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.8046,1.0850,0.1272,0.4186,0.7981,0.9325,1.3393,0.2252
1,0.2162,1.0846,0.1634,0.0918,0.8766,0.9197,1.0681,1.2999
2,0.0531,1.0845,0.1297,0.0347,0.8815,0.9191,1.0252,1.3575
3,0.0247,1.0845,0.2352,0.0237,0.8804,0.9191,1.0171,1.3697
4,0.0144,1.0845,0.3613,0.0241,0.8806,0.9191,1.0174,1.3757
5,0.0093,1.0845,0.4632,0.0211,0.8800,0.9188,1.0152,1.3759
6,0.0062,1.0845,0.4726,0.0234,0.8804,0.9188,1.0168,1.3690
7,0.0044,1.0845,0.6578,0.0226,0.8809,0.9187,1.0162,1.3744
8,0.0032,1.0845,0.7134,0.0230,0.8819,0.9185,1.0164,1.3659
9,0.0024,1.0844,0.6486,0.0207,0.8803,0.9186,1.0148,1.3687
10,0.0018,1.0844,0.6928,0.0220,0.8810,0.9183,1.0157,1.3607
11,0.0014,1.0844,0.8596,0.0285,0.8803,0.9187,1.0203,1.3514
12,0.0012,1.0844,0.7705,0.0192,0.8826,0.9182,1.0137,1.3590
13,0.0010,1.0844,0.8161,0.0182,0.8813,0.9185,1.0129,1.3587
14,0.0008,1.0844,0.7064,0.0184,0.8826,0.9183,1.0131,1.3621
15,0.0006,1.0844,0.7594,0.0179,0.8816,0.9185,1.0127,1.3511
16,0.0006,1.0844,0.7579,0.0197,0.8817,0.9183,1.0140,1.3419
17,0.0007,1.0844,0.6974,0.0179,0.8812,0.9186,1.0127,1.3503
18,0.0006,1.0845,0.8196,0.0192,0.8810,0.9187,1.0136,1.3481
19,0.0004,1.0844,0.7569,0.0172,0.8813,0.9184,1.0122,1.3545
