epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.8331,1.0738,0.0826,0.4413,0.0000,1.3647,1.3603,0.1659
1,0.3100,1.0766,1.0815,0.3072,0.0000,1.3453,1.2388,0.6047
2,0.2156,1.0766,1.5989,0.1764,0.0000,1.3458,1.1315,1.1233
3,0.1005,1.0767,1.3536,0.0854,0.0000,1.3453,1.0620,1.3368
4,0.0359,1.0766,1.3130,0.0565,0.0000,1.3459,1.0407,1.3560
5,0.0183,1.0766,1.3262,0.0469,0.0000,1.3458,1.0337,1.3524
6,0.0117,1.0765,1.5289,0.0443,0.0000,1.3463,1.0318,1.3453
7,0.0079,1.0767,1.4796,0.0401,0.0000,1.3454,1.0288,1.3493
8,0.0058,1.0765,1.5657,0.0382,0.0000,1.3464,1.0273,1.3253
9,0.0044,1.0765,1.5155,0.0372,0.0000,1.3466,1.0266,1.3410
