epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.3591,1.0131,0.0160,0.0304,1.0000,0.6330,1.0230,1.3404
1,0.0202,1.0136,0.0584,0.0126,1.0000,0.6339,1.0093,1.3576
2,0.0084,1.0135,0.2378,0.0080,1.0000,0.6338,1.0058,1.3776
3,0.0037,1.0135,0.2307,0.0053,1.0000,0.6336,1.0038,1.3808
4,0.0018,1.0136,0.3280,0.0041,1.0000,0.6339,1.0029,1.3822
5,0.0010,1.0135,0.3370,0.0038,1.0000,0.6338,1.0027,1.3836
6,0.0005,1.0135,0.3424,0.0041,1.0000,0.6338,1.0029,1.3765
7,0.0004,1.0135,0.3361,0.0031,1.0000,0.6338,1.0022,1.3830
8,0.0003,1.0135,0.3914,0.0031,1.0000,0.6337,1.0022,1.3779
9,0.0002,1.0137,0.3780,0.0036,1.0000,0.6342,1.0025,1.3728
10,0.0002,1.0136,0.3799,0.0031,1.0000,0.6340,1.0022,1.3823
11,0.0002,1.0134,0.3901,0.0034,1.0000,0.6336,1.0024,1.3748
12,0.0001,1.0135,0.4553,0.0034,1.0000,0.6338,1.0024,1.3740
13,0.0001,1.0136,0.4399,0.0038,1.0000,0.6340,1.0027,1.3746
14,0.0001,1.0136,0.3872,0.0044,1.0000,0.6340,1.0031,1.3707
15,0.0001,1.0137,0.4688,0.0042,1.0000,0.6342,1.0030,1.3708
16,0.0000,1.0137,0.4940,0.0037,1.0000,0.6341,1.0026,1.3759
17,0.0001,1.0136,0.4983,0.0047,1.0000,0.6340,1.0033,1.3656
18,0.0000,1.0134,0.4638,0.0042,1.0000,0.6337,1.0030,1.3564
19,0.0001,1.0135,0.4540,0.0038,1.0000,0.6338,1.0027,1.3713
