epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.7907,1.0762,0.2120,0.4036,0.0000,1.3459,1.3256,0.3968
1,0.2177,1.0766,0.7810,0.1245,0.0000,1.3457,1.0927,1.3077
2,0.0546,1.0766,0.8378,0.0614,0.0000,1.3462,1.0449,1.3477
3,0.0219,1.0766,1.1876,0.0533,0.0000,1.3460,1.0386,1.3446
4,0.0111,1.0766,1.4544,0.0491,0.0000,1.3471,1.0353,1.3315
5,0.0063,1.0766,1.5655,0.0460,0.0000,1.3462,1.0330,1.3309
6,0.0039,1.0767,1.7214,0.0434,0.0000,1.3466,1.0311,1.3247
7,0.0027,1.0766,1.7281,0.0418,0.0000,1.3463,1.0299,1.3252
8,0.0017,1.0766,1.8275,0.0404,0.0000,1.3466,1.0289,1.3211
9,0.0015,1.0765,1.9694,0.0405,0.0000,1.3467,1.0289,1.3184
