epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.4359,1.0766,0.0000,0.0928,0.0000,1.3460,1.0689,1.2921
1,0.0472,1.0765,0.0217,0.0207,0.0000,1.3465,1.0151,1.3698
epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.4359,1.0766,0.0000,0.0928,0.0000,1.3460,1.0689,1.2857
1,0.0472,1.0765,0.0201,0.0207,0.0000,1.3465,1.0151,1.3690
2,0.0175,1.0765,0.0326,0.0125,0.0000,1.3463,1.0090,1.3794
3,0.0088,1.0765,0.1291,0.0122,0.0000,1.3465,1.0087,1.3813
4,0.0045,1.0765,0.2249,0.0125,0.0000,1.3463,1.0089,1.3763
5,0.0037,1.0765,0.4433,0.0163,0.0000,1.3464,1.0116,1.3701
6,0.0019,1.0765,0.3760,0.0145,0.0000,1.3460,1.0103,1.3762
7,0.0018,1.0765,0.4873,0.0159,0.0000,1.3467,1.0113,1.3697
8,0.0013,1.0765,0.6318,0.0158,0.0000,1.3463,1.0112,1.3603
9,0.0011,1.0764,0.6031,0.0162,0.0000,1.3466,1.0115,1.3686
