epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.7578,1.0847,0.1177,0.3280,0.8294,0.9266,1.2595,0.9006
1,0.1300,1.0846,0.0322,0.0569,0.8813,0.9192,1.0422,1.3213
2,0.0377,1.0846,0.0577,0.0212,0.8817,0.9191,1.0156,1.3619
3,0.0193,1.0846,0.0563,0.0139,0.8807,0.9193,1.0101,1.3783
4,0.0124,1.0846,0.0768,0.0115,0.8806,0.9192,1.0084,1.3813
5,0.0083,1.0846,0.1457,0.0108,0.8799,0.9192,1.0078,1.3799
6,0.0061,1.0845,0.1977,0.0104,0.8797,0.9192,1.0075,1.3806
7,0.0046,1.0845,0.2555,0.0120,0.8797,0.9192,1.0086,1.3849
8,0.0036,1.0845,0.2604,0.0109,0.8802,0.9191,1.0078,1.3805
9,0.0028,1.0845,0.2680,0.0113,0.8806,0.9193,1.0081,1.3744
10,0.0023,1.0846,0.3495,0.0116,0.8800,0.9192,1.0083,1.3748
11,0.0018,1.0846,0.3035,0.0105,0.8812,0.9192,1.0075,1.3777
12,0.0017,1.0845,0.3644,0.0124,0.8802,0.9191,1.0089,1.3736
13,0.0014,1.0845,0.3008,0.0102,0.8804,0.9191,1.0072,1.3813
14,0.0011,1.0845,0.3531,0.0112,0.8798,0.9191,1.0080,1.3733
15,0.0011,1.0845,0.3340,0.0108,0.8783,0.9193,1.0077,1.3682
16,0.0009,1.0845,0.2980,0.0092,0.8796,0.9190,1.0066,1.3778
17,0.0008,1.0845,0.3446,0.0104,0.8811,0.9189,1.0074,1.3742
18,0.0007,1.0846,0.3570,0.0103,0.8796,0.9192,1.0073,1.3686
19,0.0008,1.0845,0.4777,0.0110,0.8789,0.9191,1.0078,1.3707
