epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.4031,1.0765,0.0000,0.0684,0.0000,1.3464,1.0504,1.3115
1,0.0361,1.0765,0.0000,0.0156,0.0000,1.3463,1.0114,1.3790
2,0.0137,1.0765,0.0389,0.0094,0.0000,1.3464,1.0068,1.3819
epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.4040,1.0766,0.0000,0.0684,0.0000,1.3462,1.0503,1.3139
1,0.0363,1.0765,0.0648,0.0169,0.0000,1.3463,1.0123,1.3718
2,0.0141,1.0765,0.0478,0.0103,0.0000,1.3464,1.0074,1.3809
3,0.0069,1.0765,0.1763,0.0123,0.0000,1.3465,1.0088,1.3811
4,0.0037,1.0765,0.2984,0.0121,0.0000,1.3465,1.0086,1.3820
5,0.0027,1.0765,0.3185,0.0135,0.0000,1.3464,1.0096,1.3787
6,0.0018,1.0764,0.3957,0.0126,0.0000,1.3468,1.0089,1.3802
7,0.0013,1.0764,0.5902,0.0169,0.0000,1.3473,1.0120,1.3638
8,0.0012,1.0764,0.6021,0.0151,0.0000,1.3468,1.0107,1.3705
9,0.0006,1.0763,0.7016,0.0144,0.0000,1.3468,1.0102,1.3564
