epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.4348,1.0767,0.0308,0.1017,0.0000,1.3460,1.0754,1.3122
1,0.0464,1.0765,0.0708,0.0246,0.0000,1.3464,1.0178,1.3763
2,0.0136,1.0765,0.3492,0.0235,0.0000,1.3465,1.0168,1.3800
3,0.0054,1.0765,0.6818,0.0255,0.0000,1.3464,1.0182,1.3706
4,0.0026,1.0764,1.0191,0.0256,0.0000,1.3469,1.0182,1.3714
5,0.0015,1.0764,0.9474,0.0249,0.0000,1.3471,1.0177,1.3617
6,0.0010,1.0763,1.2793,0.0280,0.0000,1.3477,1.0199,1.3502
7,0.0009,1.0764,1.3786,0.0272,0.0000,1.3470,1.0194,1.3601
8,0.0006,1.0764,1.3939,0.0272,0.0000,1.3466,1.0193,1.3437
9,0.0006,1.0763,1.2808,0.0237,0.0000,1.3472,1.0168,1.3544
